data,tags
 aelupsvc.dll,normal
 imageres.dll sfc.dll sfc_os.dll,normal
 msftedit.dll,normal
 ntdll.dll ntdll.dll kernel32.dll kernel32.dll user32.dll wow64.dll wow64win.dll wow64cpu.dll oleacc.dll System.Web.Services.dll kernel32.dll rsaenh.dll kernel32.dll KernelBase.dll imm32.dll rsaenh.dll advapi32.dll msvcrt.dll sechost.dll rpcrt4.dll sspicli.dll cryptbase.dll comctl32.dll sspicli.dll gdi32.dll user32.dll lpk.dll usp10.dll mfc42u.dll ole32.dll cryptbase.dll oleaut32.dll odbc32.dll ole32.dll shell32.dll shlwapi.dll winnsi.dll shell32.dll shell32.dll shell32.dll wininet.dll urlmon.dll SensApi.dll crypt32.dll wsock32.dll msasn1.dll iertutil.dll winmm.dll ws2_32.dll nsi.dll imm32.dll msctf.dll odbcint.dll Microsoft.PowerShell.Commands.Utility.ni.dll riched32.dll riched20.dll clbcatq.dll comctl32.dll uxtheme.dll msado15.dll msdart.dll cryptsp.dll rsaenh.dll RpcRtRemote.dll oledb32.dll System.Xml.ni.dll bcrypt.dll rasadhlp.dll oledb32r.dll comsvcs.dll kernel32.dll atl.dll bcryptprimitives.dll msswch.dll msjetoledb40.dll msjet40.dll mswstr10.dll msjter40.dll msjint40.dll msadox.dll msadrh15.dll msjtes40.dll version.dll vbajet32.dll expsrv.dll msadce.dll msadcer.dll,caidao
 ntdll.dll kernel32.dll KernelBase.dll chrome_elf.dll version.dll GdiPlus.dll imagehlp.dll msvcrt.dll shell32.dll shlwapi.dll gdi32.dll user32.dll clr.dll lpk.dll usp10.dll advapi32.dll sechost.dll rpcrt4.dll msvcr120_clr0400.dll winmm.dll userenv.dll profapi.dll imm32.dll msctf.dll winnsi.dll ole32.dll oleaut32.dll oleacc.dll UIAutomationCore.dll userenv.dll psapi.dll wtsapi32.dll wintrust.dll crypt32.dll cryptbase.dll msasn1.dll DWrite.dll dxgi.dll IEShims.dll dwmapi.dll comctl32.dll winhttp.dll webio.dll secur32.dll sspicli.dll cryptbase.dll cryptui.dll ws2_32.dll nsi.dll dhcpcsvc.dll chrome_child.dll dbghelp.dll System.Data.OracleClient.dll comdlg32.dll urlmon.dll wininet.dll iertutil.dll,normal
 ntdll.dll tquery.dll kernel32.dll kernel32.dll KernelBase.dll chrome_elf.dll version.dll msvcrt.dll shell32.dll shlwapi.dll gdi32.dll user32.dll lpk.dll usp10.dll advapi32.dll sechost.dll rpcrt4.dll user32.dll certCredProvider.dll rasman.dll winmm.dll userenv.dll profapi.dll imm32.dll msctf.dll winnsi.dll ole32.dll oleaut32.dll oleacc.dll UIAutomationCore.dll psapi.dll wtsapi32.dll wintrust.dll imm32.dll wevtapi.dll crypt32.dll msasn1.dll DWrite.dll usp10.dll dxgi.dll comctl32.dll winhttp.dll webio.dll secur32.dll sspicli.dll cryptbase.dll setupapi.dll devobj.dll ws2_32.dll nsi.dll dhcpcsvc.dll cfgmgr32.dll d3d11.dll chrome_child.dll dwmapi.dll dbghelp.dll comdlg32.dll winnsi.dll System.Data.ni.dll urlmon.dll cfgmgr32.dll wininet.dll iertutil.dll sechost.dll dxva2.dll d3dcompiler_47.dll libglesv2.dll d3d9.dll d3d8thk.dll libegl.dll vm3dum64_10.dll vm3dum64.dll,normal
 sfc.dll sfc_os.dll svrmgrnc.dll imageres.dll imageres.dll imageres.dll imageres.dll imageres.dll cryptbase.dll msctf.dll imageres.dll imageres.dll imageres.dll imageres.dll imageres.dll System.AddIn.Contract.ni.dll filemgmt.dll filemgmt.dll miguiresource.dll DeviceCenter.dll dsadmin.dll wsecedit.dll,normal
 ntdll.dll kernel32.dll KernelBase.dll chrome_elf.dll version.dll msvcrt.dll shell32.dll shlwapi.dll gdi32.dll user32.dll lpk.dll usp10.dll advapi32.dll sechost.dll rpcrt4.dll System.Deployment.dll winmm.dll userenv.dll profapi.dll rpcrt4.dll imm32.dll rtutils.dll System.Runtime.Serialization.ni.dll msctf.dll chrome_child.dll ws2_32.dll nsi.dll winnsi.dll ole32.dll oleaut32.dll oleacc.dll urlmon.dll UIAutomationCore.dll psapi.dll wtsapi32.dll kernel32.dll wintrust.dll wintrust.dll crypt32.dll advapi32.dll user32.dll msasn1.dll DWrite.dll dxgi.dll dwmapi.dll dbghelp.dll comdlg32.dll comctl32.dll winhttp.dll webio.dll urlmon.dll wininet.dll System.Web.dll iertutil.dll secur32.dll sspicli.dll dhcpcsvc.dll System.Activities.dll cryptbase.dll setupapi.dll cfgmgr32.dll devobj.dll dxva2.dll d3dcompiler_47.dll ddraw.dll dciman32.dll libglesv2.dll libegl.dll,normal
 ntdll.dll kernel32.dll KernelBase.dll RpcRtRemote.dll SensApi.dll chrome_elf.dll version.dll version.dll msvcrt.dll shell32.dll mscorlib.ni.dll shlwapi.dll gdi32.dll user32.dll dnsapi.dll user32.dll crypt32.dll lpk.dll usp10.dll advapi32.dll sechost.dll rpcrt4.dll winmm.dll userenv.dll profapi.dll imm32.dll msctf.dll chrome_child.dll ws2_32.dll nsi.dll winnsi.dll ole32.dll oleaut32.dll oleacc.dll UIAutomationCore.dll psapi.dll clbcatq.dll wtsapi32.dll wintrust.dll crypt32.dll msasn1.dll DWrite.dll mscorlib.dll dxgi.dll dwmapi.dll dbghelp.dll comdlg32.dll comctl32.dll webio.dll urlmon.dll wininet.dll iertutil.dll secur32.dll sspicli.dll dhcpcsvc.dll cryptbase.dll winhttp.dll,normal
 setupapi.dll devobj.dll setupapi.dll devobj.dll,normal
